timestamp [ms], dc [count], rotations [count], degree [°], dc diff [count], w[°/s], w [rad/s]
93, 0, 0, 0.000, 0, 0.000, 0.000
193, 0, 0, 0.000, 0, 0.000, 0.000
293, 0, 0, 0.000, 0, 0.000, 0.000
393, 0, 0, 0.000, 0, 0.000, 0.000
493, 0, 0, 0.000, 0, 0.000, 0.000
593, 0, 0, 0.000, 0, 0.000, 0.000
693, 0, 0, 0.000, 0, 0.000, 0.000
793, 0, 0, 0.000, 0, 0.000, 0.000
893, 0, 0, 0.000, 0, 0.000, 0.000
993, 0, 0, 0.000, 0, 0.000, 0.000
1093, 0, 0, 0.000, 0, 0.000, 0.000
1193, 0, 0, 0.000, 0, 0.000, 0.000
1293, 0, 0, 0.000, 0, 0.000, 0.000
1393, 0, 0, 0.000, 0, 0.000, 0.000
1493, 0, 0, 0.000, 0, 0.000, 0.000
1593, 0, 0, 0.000, 0, 0.000, 0.000
1693, 0, 0, 0.000, 0, 0.000, 0.000
1793, 0, 0, 0.000, 0, 0.000, 0.000
1893, 0, 0, 0.000, 0, 0.000, 0.000
1993, 0, 0, 0.000, 0, 0.000, 0.000
2093, 0, 0, 0.000, 0, 0.000, 0.000
2193, 0, 0, 0.000, 0, 0.000, 0.000
2293, 0, 0, 0.000, 0, 0.000, 0.000
2393, 0, 0, 0.000, 0, 0.000, 0.000
2493, 0, 0, 0.000, 0, 0.000, 0.000
2593, 0, 0, 0.000, 0, 0.000, 0.000
2693, 0, 0, 0.000, 0, 0.000, 0.000
2793, 0, 0, 0.000, 0, 0.000, 0.000
2893, 0, 0, 0.000, 0, 0.000, 0.000
2993, 0, 0, 0.000, 0, 0.000, 0.000
3093, 0, 0, 0.000, 0, 0.000, 0.000
3193, 0, 0, 0.000, 0, 0.000, 0.000
3293, 0, 0, 0.000, 0, 0.000, 0.000
3393, 0, 0, 0.000, 0, 0.000, 0.000
3493, 0, 0, 0.000, 0, 0.000, 0.000
3593, 0, 0, 0.000, 0, 0.000, 0.000
3693, 0, 0, 0.000, 0, 0.000, 0.000
3793, 0, 0, 0.000, 0, 0.000, 0.000
3893, 0, 0, 0.000, 0, 0.000, 0.000
3993, 0, 0, 0.000, 0, 0.000, 0.000
4093, 0, 0, 0.000, 0, 0.000, 0.000
4193, 0, 0, 0.000, 0, 0.000, 0.000
4293, 0, 0, 0.000, 0, 0.000, 0.000
4393, 0, 0, 0.000, 0, 0.000, 0.000
4493, 0, 0, 0.000, 0, 0.000, 0.000
4593, 0, 0, 0.000, 0, 0.000, 0.000
4693, 0, 0, 0.000, 0, 0.000, 0.000
4793, 0, 0, 0.000, 0, 0.000, 0.000
4893, 0, 0, 0.000, 0, 0.000, 0.000
4993, 0, 0, 0.000, 0, 0.000, 0.000
5093, 0, 0, 0.000, 0, 0.000, 0.000
5193, 1, 0, 5.625, 1, 562.500, 0.981
5293, 4, 0, 22.500, 3, 1687.500, 2.945
5393, 9, 0, 50.625, 5, 2812.500, 4.908
5493, 16, 0, 90.000, 7, 3937.500, 6.872
5593, 24, 0, 135.000, 8, 4500.000, 7.853
5693, 35, 0, 196.875, 11, 6187.500, 10.799
5793, 48, 0, 270.000, 13, 7312.500, 12.762
5893, 62, 0, 348.750, 14, 7875.000, 13.744
5993, 79, 1, 444.375, 17, 9562.500, 16.689
6093, 97, 1, 545.625, 18, 10125.000, 17.671
6193, 117, 1, 658.125, 20, 11250.000, 19.634
6293, 139, 2, 781.875, 22, 12375.000, 21.598
6393, 162, 2, 911.250, 23, 12937.500, 22.580
6493, 188, 2, 1057.500, 26, 14625.000, 25.525
6593, 215, 3, 1209.375, 27, 15187.500, 26.507
6693, 244, 3, 1372.500, 29, 16312.500, 28.470
6793, 275, 4, 1546.875, 31, 17437.500, 30.434
6893, 307, 4, 1726.875, 32, 18000.000, 31.415
6993, 340, 5, 1912.500, 33, 18562.500, 32.397
7093, 375, 5, 2109.375, 35, 19687.500, 34.361
7193, 412, 6, 2317.500, 37, 20812.500, 36.324
7293, 450, 7, 2531.250, 38, 21375.000, 37.306
7393, 489, 7, 2750.625, 39, 21937.500, 38.288
7493, 529, 8, 2975.625, 40, 22500.000, 39.269
7593, 571, 8, 3211.875, 42, 23625.000, 41.233
7693, 614, 9, 3453.750, 43, 24187.500, 42.215
7793, 658, 10, 3701.250, 44, 24750.000, 43.196
7893, 703, 10, 3954.375, 45, 25312.500, 44.178
7993, 749, 11, 4213.125, 46, 25875.000, 45.160
8093, 796, 12, 4477.500, 47, 26437.500, 46.142
8193, 845, 13, 4753.125, 49, 27562.500, 48.105
8293, 895, 13, 5034.375, 50, 28125.000, 49.087
8393, 945, 14, 5315.625, 50, 28125.000, 49.087
8493, 997, 15, 5608.125, 52, 29250.000, 51.050
8593, 1049, 16, 5900.625, 52, 29250.000, 51.050
8693, 1103, 17, 6204.375, 54, 30375.000, 53.014
8793, 1157, 18, 6508.125, 54, 30375.000, 53.014
8893, 1212, 18, 6817.500, 55, 30937.500, 53.996
8993, 1268, 19, 7132.500, 56, 31500.000, 54.977
9093, 1325, 20, 7453.125, 57, 32062.500, 55.959
9193, 1383, 21, 7779.375, 58, 32625.000, 56.941
9293, 1442, 22, 8111.250, 59, 33187.500, 57.923
9393, 1500, 23, 8437.500, 58, 32625.000, 56.941
9493, 1560, 24, 8775.000, 60, 33750.000, 58.904
9593, 1621, 25, 9118.125, 61, 34312.500, 59.886
9693, 1683, 26, 9466.875, 62, 34875.000, 60.868
9793, 1744, 27, 9810.000, 61, 34312.500, 59.886
9893, 1807, 28, 10164.375, 63, 35437.500, 61.850
9993, 1871, 29, 10524.375, 64, 36000.000, 62.831
10093, 1934, 30, 10878.750, 63, 35437.500, 61.850
10193, 1999, 31, 11244.375, 65, 36562.500, 63.813
10293, 2064, 32, 11610.000, 65, 36562.500, 63.813
10393, 2130, 33, 11981.250, 66, 37125.000, 64.795
10493, 2196, 34, 12352.500, 66, 37125.000, 64.795
10593, 2263, 35, 12729.375, 67, 37687.500, 65.777
10693, 2330, 36, 13106.250, 67, 37687.500, 65.777
10793, 2398, 37, 13488.750, 68, 38250.000, 66.758
10893, 2466, 38, 13871.250, 68, 38250.000, 66.758
10993, 2534, 39, 14253.750, 68, 38250.000, 66.758
11093, 2603, 40, 14641.875, 69, 38812.500, 67.740
11193, 2672, 41, 15030.000, 69, 38812.500, 67.740
11293, 2742, 42, 15423.750, 70, 39375.000, 68.722
11393, 2812, 43, 15817.500, 70, 39375.000, 68.722
11493, 2883, 45, 16216.875, 71, 39937.500, 69.704
11593, 2954, 46, 16616.250, 71, 39937.500, 69.704
11693, 3025, 47, 17015.625, 71, 39937.500, 69.704
11793, 3096, 48, 17415.000, 71, 39937.500, 69.704
11893, 3168, 49, 17820.000, 72, 40500.000, 70.685
11993, 3240, 50, 18225.000, 72, 40500.000, 70.685
12093, 3312, 51, 18630.000, 72, 40500.000, 70.685
12193, 3385, 52, 19040.625, 73, 41062.500, 71.667
12293, 3458, 54, 19451.250, 73, 41062.500, 71.667
12393, 3531, 55, 19861.875, 73, 41062.500, 71.667
12493, 3605, 56, 20278.125, 74, 41625.000, 72.649
12593, 3679, 57, 20694.375, 74, 41625.000, 72.649
12693, 3753, 58, 21110.625, 74, 41625.000, 72.649
12793, 3827, 59, 21526.875, 74, 41625.000, 72.649
12893, 3902, 60, 21948.750, 75, 42187.500, 73.631
12993, 3977, 62, 22370.625, 75, 42187.500, 73.631
13093, 4052, 63, 22792.500, 75, 42187.500, 73.631
13193, 4127, 64, 23214.375, 75, 42187.500, 73.631
13293, 4203, 65, 23641.875, 76, 42750.000, 74.612
13393, 4279, 66, 24069.375, 76, 42750.000, 74.612
13493, 4355, 68, 24496.875, 76, 42750.000, 74.612
13593, 4431, 69, 24924.375, 76, 42750.000, 74.612
13693, 4507, 70, 25351.875, 76, 42750.000, 74.612
13793, 4583, 71, 25779.375, 76, 42750.000, 74.612
13893, 4660, 72, 26212.500, 77, 43312.500, 75.594
13993, 4737, 74, 26645.625, 77, 43312.500, 75.594
14093, 4814, 75, 27078.750, 77, 43312.500, 75.594
14193, 4891, 76, 27511.875, 77, 43312.500, 75.594
14293, 4968, 77, 27945.000, 77, 43312.500, 75.594
14393, 5046, 78, 28383.750, 78, 43875.000, 76.576
14493, 5124, 80, 28822.500, 78, 43875.000, 76.576
14593, 5202, 81, 29261.250, 78, 43875.000, 76.576
14693, 5280, 82, 29700.000, 78, 43875.000, 76.576
14793, 5358, 83, 30138.750, 78, 43875.000, 76.576
14893, 5436, 84, 30577.500, 78, 43875.000, 76.576
14993, 5515, 86, 31021.875, 79, 44437.500, 77.558
15093, 5594, 87, 31466.250, 79, 44437.500, 77.558
15193, 5670, 88, 31893.750, 76, 42750.000, 74.612
15293, 5743, 89, 32304.375, 73, 41062.500, 71.667
15393, 5812, 90, 32692.500, 69, 38812.500, 67.740
15493, 5876, 91, 33052.500, 64, 36000.000, 62.831
15593, 5938, 92, 33401.250, 62, 34875.000, 60.868
15693, 5995, 93, 33721.875, 57, 32062.500, 55.959
15793, 6049, 94, 34025.625, 54, 30375.000, 53.014
15893, 6100, 95, 34312.500, 51, 28687.500, 50.069
15993, 6147, 96, 34576.875, 47, 26437.500, 46.142
16093, 6192, 96, 34830.000, 45, 25312.500, 44.178
16193, 6234, 97, 35066.250, 42, 23625.000, 41.233
16293, 6272, 98, 35280.000, 38, 21375.000, 37.306
16393, 6308, 98, 35482.500, 36, 20250.000, 35.342
16493, 6342, 99, 35673.750, 34, 19125.000, 33.379
16593, 6372, 99, 35842.500, 30, 16875.000, 29.452
16693, 6400, 100, 36000.000, 28, 15750.000, 27.488
16793, 6427, 100, 36151.875, 27, 15187.500, 26.507
16893, 6450, 100, 36281.250, 23, 12937.500, 22.580
16993, 6472, 101, 36405.000, 22, 12375.000, 21.598
17093, 6491, 101, 36511.875, 19, 10687.500, 18.653
17193, 6509, 101, 36613.125, 18, 10125.000, 17.671
17293, 6524, 101, 36697.500, 15, 8437.500, 14.726
17393, 6538, 102, 36776.250, 14, 7875.000, 13.744
17493, 6550, 102, 36843.750, 12, 6750.000, 11.780
17593, 6559, 102, 36894.375, 9, 5062.500, 8.835
17693, 6568, 102, 36945.000, 9, 5062.500, 8.835
17793, 6574, 102, 36978.750, 6, 3375.000, 5.890
17893, 6579, 102, 37006.875, 5, 2812.500, 4.908
17993, 6582, 102, 37023.750, 3, 1687.500, 2.945
18093, 6582, 102, 37023.750, 0, 0.000, 0.000
18193, 6582, 102, 37023.750, 0, 0.000, 0.000
18293, 6582, 102, 37023.750, 0, 0.000, 0.000
18393, 6582, 102, 37023.750, 0, 0.000, 0.000
18493, 6582, 102, 37023.750, 0, 0.000, 0.000
18593, 6582, 102, 37023.750, 0, 0.000, 0.000
18693, 6582, 102, 37023.750, 0, 0.000, 0.000
18793, 6582, 102, 37023.750, 0, 0.000, 0.000
18893, 6582, 102, 37023.750, 0, 0.000, 0.000
18993, 6582, 102, 37023.750, 0, 0.000, 0.000
19093, 6582, 102, 37023.750, 0, 0.000, 0.000
19193, 6582, 102, 37023.750, 0, 0.000, 0.000
19293, 6582, 102, 37023.750, 0, 0.000, 0.000
19393, 6582, 102, 37023.750, 0, 0.000, 0.000
19493, 6582, 102, 37023.750, 0, 0.000, 0.000
19593, 6582, 102, 37023.750, 0, 0.000, 0.000
19693, 6582, 102, 37023.750, 0, 0.000, 0.000
19793, 6582, 102, 37023.750, 0, 0.000, 0.000
19893, 6582, 102, 37023.750, 0, 0.000, 0.000
19993, 6582, 102, 37023.750, 0, 0.000, 0.000
20093, 6582, 102, 37023.750, 0, 0.000, 0.000
20193, 6581, 102, 37018.125, -1, -562.500, -0.981
20293, 6576, 102, 36990.000, -5, -2812.500, -4.908
20393, 6568, 102, 36945.000, -8, -4500.000, -7.853
20493, 6558, 102, 36888.750, -10, -5625.000, -9.817
20593, 6545, 102, 36815.625, -13, -7312.500, -12.762
20693, 6530, 102, 36731.250, -15, -8437.500, -14.726
20793, 6513, 101, 36635.625, -17, -9562.500, -16.689
20893, 6494, 101, 36528.750, -19, -10687.500, -18.653
20993, 6472, 101, 36405.000, -22, -12375.000, -21.598
21093, 6449, 100, 36275.625, -23, -12937.500, -22.580
21193, 6423, 100, 36129.375, -26, -14625.000, -25.525
21293, 6396, 99, 35977.500, -27, -15187.500, -26.507
21393, 6367, 99, 35814.375, -29, -16312.500, -28.470
21493, 6335, 98, 35634.375, -32, -18000.000, -31.415
21593, 6303, 98, 35454.375, -32, -18000.000, -31.415
21693, 6268, 97, 35257.500, -35, -19687.500, -34.361
21793, 6232, 97, 35055.000, -36, -20250.000, -35.342
21893, 6195, 96, 34846.875, -37, -20812.500, -36.324
21993, 6155, 96, 34621.875, -40, -22500.000, -39.269
22093, 6115, 95, 34396.875, -40, -22500.000, -39.269
22193, 6073, 94, 34160.625, -42, -23625.000, -41.233
22293, 6029, 94, 33913.125, -44, -24750.000, -43.196
22393, 5984, 93, 33660.000, -45, -25312.500, -44.178
22493, 5938, 92, 33401.250, -46, -25875.000, -45.160
22593, 5891, 92, 33136.875, -47, -26437.500, -46.142
22693, 5843, 91, 32866.875, -48, -27000.000, -47.123
22793, 5793, 90, 32585.625, -50, -28125.000, -49.087
22893, 5743, 89, 32304.375, -50, -28125.000, -49.087
22993, 5691, 88, 32011.875, -52, -29250.000, -51.050
23093, 5638, 88, 31713.750, -53, -29812.500, -52.032
23193, 5584, 87, 31410.000, -54, -30375.000, -53.014
23293, 5530, 86, 31106.250, -54, -30375.000, -53.014
23393, 5474, 85, 30791.250, -56, -31500.000, -54.977
23493, 5418, 84, 30476.250, -56, -31500.000, -54.977
23593, 5360, 83, 30150.000, -58, -32625.000, -56.941
23693, 5302, 82, 29823.750, -58, -32625.000, -56.941
23793, 5243, 81, 29491.875, -59, -33187.500, -57.923
23893, 5183, 80, 29154.375, -60, -33750.000, -58.904
23993, 5123, 80, 28816.875, -60, -33750.000, -58.904
24093, 5061, 79, 28468.125, -62, -34875.000, -60.868
