timestamp [ms], dc [count], rotations [count], degree [°], dc diff [count], w[°/s], w [rad/s]
93, 0, 0, 0.000, 0, 0.000, 0.000
193, 0, 0, 0.000, 0, 0.000, 0.000
293, 0, 0, 0.000, 0, 0.000, 0.000
393, 0, 0, 0.000, 0, 0.000, 0.000
493, 0, 0, 0.000, 0, 0.000, 0.000
593, 0, 0, 0.000, 0, 0.000, 0.000
693, 0, 0, 0.000, 0, 0.000, 0.000
793, 0, 0, 0.000, 0, 0.000, 0.000
893, 0, 0, 0.000, 0, 0.000, 0.000
993, 0, 0, 0.000, 0, 0.000, 0.000
1093, 0, 0, 0.000, 0, 0.000, 0.000
1193, 0, 0, 0.000, 0, 0.000, 0.000
1293, 0, 0, 0.000, 0, 0.000, 0.000
1393, 0, 0, 0.000, 0, 0.000, 0.000
1493, 0, 0, 0.000, 0, 0.000, 0.000
1593, 0, 0, 0.000, 0, 0.000, 0.000
1693, 0, 0, 0.000, 0, 0.000, 0.000
1793, 0, 0, 0.000, 0, 0.000, 0.000
1893, 0, 0, 0.000, 0, 0.000, 0.000
1993, 0, 0, 0.000, 0, 0.000, 0.000
2093, 0, 0, 0.000, 0, 0.000, 0.000
2193, 0, 0, 0.000, 0, 0.000, 0.000
2293, 0, 0, 0.000, 0, 0.000, 0.000
2393, 0, 0, 0.000, 0, 0.000, 0.000
2493, 0, 0, 0.000, 0, 0.000, 0.000
2593, 0, 0, 0.000, 0, 0.000, 0.000
2693, 0, 0, 0.000, 0, 0.000, 0.000
2793, 0, 0, 0.000, 0, 0.000, 0.000
2893, 0, 0, 0.000, 0, 0.000, 0.000
2993, 0, 0, 0.000, 0, 0.000, 0.000
3093, 0, 0, 0.000, 0, 0.000, 0.000
3193, 0, 0, 0.000, 0, 0.000, 0.000
3293, 0, 0, 0.000, 0, 0.000, 0.000
3393, 0, 0, 0.000, 0, 0.000, 0.000
3493, 0, 0, 0.000, 0, 0.000, 0.000
3593, 0, 0, 0.000, 0, 0.000, 0.000
3693, 0, 0, 0.000, 0, 0.000, 0.000
3793, 0, 0, 0.000, 0, 0.000, 0.000
3893, 0, 0, 0.000, 0, 0.000, 0.000
3993, 0, 0, 0.000, 0, 0.000, 0.000
4093, 0, 0, 0.000, 0, 0.000, 0.000
4193, 0, 0, 0.000, 0, 0.000, 0.000
4293, 0, 0, 0.000, 0, 0.000, 0.000
4393, 0, 0, 0.000, 0, 0.000, 0.000
4493, 0, 0, 0.000, 0, 0.000, 0.000
4593, 0, 0, 0.000, 0, 0.000, 0.000
4693, 0, 0, 0.000, 0, 0.000, 0.000
4793, 0, 0, 0.000, 0, 0.000, 0.000
4893, 0, 0, 0.000, 0, 0.000, 0.000
4993, 0, 0, 0.000, 0, 0.000, 0.000
5093, 0, 0, 0.000, 0, 0.000, 0.000
5193, 1, 0, 5.625, 1, 562.500, 0.981
5293, 4, 0, 22.500, 3, 1687.500, 2.945
5393, 10, 0, 56.250, 6, 3375.000, 5.890
5493, 18, 0, 101.250, 8, 4500.000, 7.853
5593, 29, 0, 163.125, 11, 6187.500, 10.799
5693, 43, 0, 241.875, 14, 7875.000, 13.744
5793, 59, 0, 331.875, 16, 9000.000, 15.707
5893, 77, 1, 433.125, 18, 10125.000, 17.671
5993, 97, 1, 545.625, 20, 11250.000, 19.634
6093, 120, 1, 675.000, 23, 12937.500, 22.580
6193, 144, 2, 810.000, 24, 13500.000, 23.561
6293, 171, 2, 961.875, 27, 15187.500, 26.507
6393, 200, 3, 1125.000, 29, 16312.500, 28.470
6493, 230, 3, 1293.750, 30, 16875.000, 29.452
6593, 262, 4, 1473.750, 32, 18000.000, 31.415
6693, 296, 4, 1665.000, 34, 19125.000, 33.379
6793, 331, 5, 1861.875, 35, 19687.500, 34.361
6893, 368, 5, 2070.000, 37, 20812.500, 36.324
6993, 406, 6, 2283.750, 38, 21375.000, 37.306
7093, 446, 6, 2508.750, 40, 22500.000, 39.269
7193, 488, 7, 2745.000, 42, 23625.000, 41.233
7293, 531, 8, 2986.875, 43, 24187.500, 42.215
7393, 575, 8, 3234.375, 44, 24750.000, 43.196
7493, 620, 9, 3487.500, 45, 25312.500, 44.178
7593, 667, 10, 3751.875, 47, 26437.500, 46.142
7693, 715, 11, 4021.875, 48, 27000.000, 47.123
7793, 763, 11, 4291.875, 48, 27000.000, 47.123
7893, 813, 12, 4573.125, 50, 28125.000, 49.087
7993, 864, 13, 4860.000, 51, 28687.500, 50.069
8093, 916, 14, 5152.500, 52, 29250.000, 51.050
8193, 970, 15, 5456.250, 54, 30375.000, 53.014
8293, 1024, 16, 5760.000, 54, 30375.000, 53.014
8393, 1079, 16, 6069.375, 55, 30937.500, 53.996
8493, 1135, 17, 6384.375, 56, 31500.000, 54.977
8593, 1191, 18, 6699.375, 56, 31500.000, 54.977
8693, 1249, 19, 7025.625, 58, 32625.000, 56.941
8793, 1307, 20, 7351.875, 58, 32625.000, 56.941
8893, 1367, 21, 7689.375, 60, 33750.000, 58.904
8993, 1427, 22, 8026.875, 60, 33750.000, 58.904
9093, 1487, 23, 8364.375, 60, 33750.000, 58.904
9193, 1549, 24, 8713.125, 62, 34875.000, 60.868
9293, 1611, 25, 9061.875, 62, 34875.000, 60.868
9393, 1675, 26, 9421.875, 64, 36000.000, 62.831
9493, 1738, 27, 9776.250, 63, 35437.500, 61.850
9593, 1803, 28, 10141.875, 65, 36562.500, 63.813
9693, 1868, 29, 10507.500, 65, 36562.500, 63.813
9793, 1933, 30, 10873.125, 65, 36562.500, 63.813
9893, 1999, 31, 11244.375, 66, 37125.000, 64.795
9993, 2066, 32, 11621.250, 67, 37687.500, 65.777
10093, 2133, 33, 11998.125, 67, 37687.500, 65.777
10193, 2201, 34, 12380.625, 68, 38250.000, 66.758
10293, 2269, 35, 12763.125, 68, 38250.000, 66.758
10393, 2337, 36, 13145.625, 68, 38250.000, 66.758
10493, 2407, 37, 13539.375, 70, 39375.000, 68.722
10593, 2476, 38, 13927.500, 69, 38812.500, 67.740
10693, 2547, 39, 14326.875, 71, 39937.500, 69.704
10793, 2617, 40, 14720.625, 70, 39375.000, 68.722
10893, 2688, 42, 15120.000, 71, 39937.500, 69.704
10993, 2760, 43, 15525.000, 72, 40500.000, 70.685
11093, 2831, 44, 15924.375, 71, 39937.500, 69.704
11193, 2903, 45, 16329.375, 72, 40500.000, 70.685
11293, 2976, 46, 16740.000, 73, 41062.500, 71.667
11393, 3048, 47, 17145.000, 72, 40500.000, 70.685
11493, 3121, 48, 17555.625, 73, 41062.500, 71.667
11593, 3195, 49, 17971.875, 74, 41625.000, 72.649
11693, 3268, 51, 18382.500, 73, 41062.500, 71.667
11793, 3342, 52, 18798.750, 74, 41625.000, 72.649
11893, 3416, 53, 19215.000, 74, 41625.000, 72.649
11993, 3491, 54, 19636.875, 75, 42187.500, 73.631
12093, 3565, 55, 20053.125, 74, 41625.000, 72.649
12193, 3641, 56, 20480.625, 76, 42750.000, 74.612
12293, 3716, 58, 20902.500, 75, 42187.500, 73.631
12393, 3792, 59, 21330.000, 76, 42750.000, 74.612
12493, 3867, 60, 21751.875, 75, 42187.500, 73.631
12593, 3943, 61, 22179.375, 76, 42750.000, 74.612
12693, 4019, 62, 22606.875, 76, 42750.000, 74.612
12793, 4096, 64, 23040.000, 77, 43312.500, 75.594
12893, 4172, 65, 23467.500, 76, 42750.000, 74.612
12993, 4249, 66, 23900.625, 77, 43312.500, 75.594
13093, 4326, 67, 24333.750, 77, 43312.500, 75.594
13193, 4403, 68, 24766.875, 77, 43312.500, 75.594
13293, 4480, 70, 25200.000, 77, 43312.500, 75.594
13393, 4558, 71, 25638.750, 78, 43875.000, 76.576
13493, 4635, 72, 26071.875, 77, 43312.500, 75.594
13593, 4712, 73, 26505.000, 77, 43312.500, 75.594
13693, 4790, 74, 26943.750, 78, 43875.000, 76.576
13793, 4868, 76, 27382.500, 78, 43875.000, 76.576
13893, 4946, 77, 27821.250, 78, 43875.000, 76.576
13993, 5024, 78, 28260.000, 78, 43875.000, 76.576
14093, 5102, 79, 28698.750, 78, 43875.000, 76.576
14193, 5181, 80, 29143.125, 79, 44437.500, 77.558
14293, 5259, 82, 29581.875, 78, 43875.000, 76.576
14393, 5338, 83, 30026.250, 79, 44437.500, 77.558
14493, 5416, 84, 30465.000, 78, 43875.000, 76.576
14593, 5495, 85, 30909.375, 79, 44437.500, 77.558
14693, 5574, 87, 31353.750, 79, 44437.500, 77.558
14793, 5653, 88, 31798.125, 79, 44437.500, 77.558
14893, 5733, 89, 32248.125, 80, 45000.000, 78.539
14993, 5812, 90, 32692.500, 79, 44437.500, 77.558
15093, 5892, 92, 33142.500, 80, 45000.000, 78.539
15193, 5971, 93, 33586.875, 79, 44437.500, 77.558
15293, 6051, 94, 34036.875, 80, 45000.000, 78.539
15393, 6131, 95, 34486.875, 80, 45000.000, 78.539
15493, 6211, 97, 34936.875, 80, 45000.000, 78.539
15593, 6291, 98, 35386.875, 80, 45000.000, 78.539
15693, 6371, 99, 35836.875, 80, 45000.000, 78.539
15793, 6451, 100, 36286.875, 80, 45000.000, 78.539
15893, 6531, 102, 36736.875, 80, 45000.000, 78.539
15993, 6611, 103, 37186.875, 80, 45000.000, 78.539
16093, 6691, 104, 37636.875, 80, 45000.000, 78.539
16193, 6772, 105, 38092.500, 81, 45562.500, 79.521
16293, 6852, 107, 38542.500, 80, 45000.000, 78.539
16393, 6933, 108, 38998.125, 81, 45562.500, 79.521
16493, 7014, 109, 39453.750, 81, 45562.500, 79.521
16593, 7095, 110, 39909.375, 81, 45562.500, 79.521
16693, 7175, 112, 40359.375, 80, 45000.000, 78.539
16793, 7256, 113, 40815.000, 81, 45562.500, 79.521
16893, 7337, 114, 41270.625, 81, 45562.500, 79.521
16993, 7419, 115, 41731.875, 82, 46125.000, 80.503
17093, 7500, 117, 42187.500, 81, 45562.500, 79.521
17193, 7581, 118, 42643.125, 81, 45562.500, 79.521
17293, 7662, 119, 43098.750, 81, 45562.500, 79.521
17393, 7744, 121, 43560.000, 82, 46125.000, 80.503
17493, 7825, 122, 44015.625, 81, 45562.500, 79.521
17593, 7906, 123, 44471.250, 81, 45562.500, 79.521
17693, 7988, 124, 44932.500, 82, 46125.000, 80.503
17793, 8069, 126, 45388.125, 81, 45562.500, 79.521
17893, 8151, 127, 45849.375, 82, 46125.000, 80.503
17993, 8232, 128, 46305.000, 81, 45562.500, 79.521
18093, 8314, 129, 46766.250, 82, 46125.000, 80.503
18193, 8396, 131, 47227.500, 82, 46125.000, 80.503
18293, 8477, 132, 47683.125, 81, 45562.500, 79.521
18393, 8559, 133, 48144.375, 82, 46125.000, 80.503
18493, 8641, 135, 48605.625, 82, 46125.000, 80.503
18593, 8723, 136, 49066.875, 82, 46125.000, 80.503
18693, 8805, 137, 49528.125, 82, 46125.000, 80.503
18793, 8887, 138, 49989.375, 82, 46125.000, 80.503
18893, 8969, 140, 50450.625, 82, 46125.000, 80.503
18993, 9051, 141, 50911.875, 82, 46125.000, 80.503
19093, 9133, 142, 51373.125, 82, 46125.000, 80.503
19193, 9216, 144, 51840.000, 83, 46687.500, 81.485
19293, 9298, 145, 52301.250, 82, 46125.000, 80.503
19393, 9380, 146, 52762.500, 82, 46125.000, 80.503
19493, 9462, 147, 53223.750, 82, 46125.000, 80.503
19593, 9544, 149, 53685.000, 82, 46125.000, 80.503
19693, 9627, 150, 54151.875, 83, 46687.500, 81.485
19793, 9709, 151, 54613.125, 82, 46125.000, 80.503
19893, 9792, 153, 55080.000, 83, 46687.500, 81.485
19993, 9874, 154, 55541.250, 82, 46125.000, 80.503
20093, 9956, 155, 56002.500, 82, 46125.000, 80.503
20193, 10039, 156, 56469.375, 83, 46687.500, 81.485
20293, 10122, 158, 56936.250, 83, 46687.500, 81.485
20393, 10205, 159, 57403.125, 83, 46687.500, 81.485
20493, 10288, 160, 57870.000, 83, 46687.500, 81.485
20593, 10371, 162, 58336.875, 83, 46687.500, 81.485
20693, 10453, 163, 58798.125, 82, 46125.000, 80.503
20793, 10536, 164, 59265.000, 83, 46687.500, 81.485
20893, 10619, 165, 59731.875, 83, 46687.500, 81.485
20993, 10702, 167, 60198.750, 83, 46687.500, 81.485
21093, 10785, 168, 60665.625, 83, 46687.500, 81.485
21193, 10868, 169, 61132.500, 83, 46687.500, 81.485
21293, 10951, 171, 61599.375, 83, 46687.500, 81.485
21393, 11034, 172, 62066.250, 83, 46687.500, 81.485
21493, 11117, 173, 62533.125, 83, 46687.500, 81.485
21593, 11201, 175, 63005.625, 84, 47250.000, 82.466
21693, 11284, 176, 63472.500, 83, 46687.500, 81.485
21793, 11367, 177, 63939.375, 83, 46687.500, 81.485
21893, 11451, 178, 64411.875, 84, 47250.000, 82.466
21993, 11534, 180, 64878.750, 83, 46687.500, 81.485
22093, 11617, 181, 65345.625, 83, 46687.500, 81.485
22193, 11701, 182, 65818.125, 84, 47250.000, 82.466
22293, 11785, 184, 66290.625, 84, 47250.000, 82.466
22393, 11868, 185, 66757.500, 83, 46687.500, 81.485
22493, 11952, 186, 67230.000, 84, 47250.000, 82.466
22593, 12036, 188, 67702.500, 84, 47250.000, 82.466
22693, 12119, 189, 68169.375, 83, 46687.500, 81.485
22793, 12203, 190, 68641.875, 84, 47250.000, 82.466
22893, 12286, 191, 69108.750, 83, 46687.500, 81.485
22993, 12370, 193, 69581.250, 84, 47250.000, 82.466
23093, 12454, 194, 70053.750, 84, 47250.000, 82.466
23193, 12537, 195, 70520.625, 83, 46687.500, 81.485
23293, 12621, 197, 70993.125, 84, 47250.000, 82.466
23393, 12705, 198, 71465.625, 84, 47250.000, 82.466
23493, 12789, 199, 71938.125, 84, 47250.000, 82.466
23593, 12873, 201, 72410.625, 84, 47250.000, 82.466
23693, 12957, 202, 72883.125, 84, 47250.000, 82.466
23793, 13042, 203, 73361.250, 85, 47812.500, 83.448
23893, 13126, 205, 73833.750, 84, 47250.000, 82.466
23993, 13210, 206, 74306.250, 84, 47250.000, 82.466
